ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
15785,CS,1010,001,Lecture,"3","Craig Dill","MoWe 3:30PM - 4:45PM","Thornton Hall E316","Introduction to Information Technology","",Open,70,90,0,"How computers create, preserve, manipulate and communicate information and the concepts and tools used to that end. Units include how computers work, web technologies, creating web pages, algorithms and logic, basic programming, and solving problems with spreadsheets. Students will learn to recognize computational problems and develop basic skill sets to solve future problems in their discipline of study. No prior programming experience required.   Not intended for students expecting to do further work in CS. Cannot be taken for credit by students in SEAS or Commerce."
15771,CS,1110,001,Lecture,"3","Nathan Brunelle","MoWeFr 2:00PM - 2:50PM","Wilson Hall 402","Introduction to Programming","",Open,246,260,0,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15781,CS,1110,002,Lecture,"3","Craig Dill","MoWeFr 12:00PM - 12:50PM","Minor Hall 125","Introduction to Programming","",Open,79,110,0,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
16848,CS,1110,003,Lecture,"3","Luther Tychonievich","MoWeFr 9:00AM - 9:50AM","Maury Hall 209","Introduction to Programming","",Open,177,260,0,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
18892,CS,1110,004,Lecture,"3","Craig Dill","MoWeFr 1:00PM - 1:50PM","Olsson Hall 120","Introduction to Programming","",Open,35,110,0,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15772,CS,1110,100,Laboratory,"0","Nathan Brunelle","Th 9:30AM - 10:45AM","Olsson Hall 001","Introduction to Programming","",Closed,44,44,0,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15773,CS,1110,101,Laboratory,"0","Nathan Brunelle","Th 11:00AM - 12:15PM","Olsson Hall 001","Introduction to Programming","",Closed,44,44,1,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15774,CS,1110,102,Laboratory,"0","Nathan Brunelle","Th 12:30PM - 1:45PM","Olsson Hall 001","Introduction to Programming","",Closed,43,44,2,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15775,CS,1110,103,Laboratory,"0","Nathan Brunelle","Th 2:00PM - 3:15PM","Olsson Hall 001","Introduction to Programming","",Closed,44,44,2,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15776,CS,1110,104,Laboratory,"0","Nathan Brunelle","Th 3:30PM - 4:45PM","Olsson Hall 001","Introduction to Programming","",Closed,43,44,1,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15777,CS,1110,105,Laboratory,"0","Nathan Brunelle","Th 5:00PM - 6:15PM","Olsson Hall 001","Introduction to Programming","",Open,43,44,0,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15778,CS,1110,106,Laboratory,"0","Nathan Brunelle","Th 6:30PM - 7:45PM","Olsson Hall 001","Introduction to Programming","",Open,36,44,0,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15779,CS,1110,107,Laboratory,"0","Nathan Brunelle","Th 12:30PM - 1:45PM","Mechanical Engr Bldg 213","Introduction to Programming","",Open,45,46,1,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15780,CS,1110,108,Laboratory,"0","Nathan Brunelle","Th 3:30PM - 4:45PM","Mechanical Engr Bldg 213","Introduction to Programming","",Closed,45,46,1,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15782,CS,1110,109,Laboratory,"0","Nathan Brunelle","Th 5:00PM - 6:15PM","Mechanical Engr Bldg 213","Introduction to Programming","",Open,41,46,2,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15899,CS,1110,110,Laboratory,"0","Nathan Brunelle","Th 6:30PM - 7:45PM","Mechanical Engr Bldg 213","Introduction to Programming","",Open,32,46,0,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
16849,CS,1110,111,Laboratory,"0","Nathan Brunelle","Th 5:00PM - 6:15PM","Olsson Hall 009","Introduction to Programming","",Open,77,81,0,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  No previous programming experience required.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15783,CS,1111,001,Lecture,"3","Upsorn Praphamontripong","MoWe 2:00PM - 3:15PM","Thornton Hall E303","Introduction to Programming","",Open,59,95,0,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.  Prerequisite: Students should have some experience with programming.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15784,CS,1112,001,Lecture,"3","James Cohoon","MoWeFr 2:00PM - 3:15PM","Rice Hall 130","Introduction to Programming","",Closed,148,145,0,"A first course in programming, software development, and computer science.  Introduces computing fundamentals and an appreciation for computational thinking.    Prerequisite: Students must have no previous programming experience.  Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
